model_name,gpu_count,dataset,input_len,output_len,impl,requests_per_sec,total_tokens_per_sec,output_tokens_per_sec,total_prompt_tokens,total_output_tokens
Llama-3.3-70B-Instruct,8,random,512,128,no_ar,35.40,22654.14,4530.83,512000,128000
Llama-3.3-70B-Instruct,8,random,512,128,baseline_multimem,26.80,17154.11,3430.82,512000,128000
Llama-3.3-70B-Instruct,8,random,512,128,overlap_fused,33.61,21511.57,4302.31,512000,128000
Llama-3.3-70B-Instruct,4,random,512,128,no_ar,19.98,12785.88,2557.18,512000,128000
Llama-3.3-70B-Instruct,4,random,512,128,baseline_multimem,17.74,11351.03,2270.21,512000,128000
Llama-3.3-70B-Instruct,4,random,512,128,overlap_fused,19.35,12386.54,2477.31,512000,128000
Qwen2.5-72B-Instruct,8,random,512,128,no_ar,33.94,21720.49,4344.10,512000,128000
Qwen2.5-72B-Instruct,8,random,512,128,baseline_multimem,27.99,17911.32,3582.26,512000,128000
Qwen2.5-72B-Instruct,8,random,512,128,overlap_fused,33.00,21120.10,4224.02,512000,128000
Qwen2.5-72B-Instruct,4,random,512,128,no_ar,19.34,12377.85,2475.57,512000,128000
Qwen2.5-72B-Instruct,4,random,512,128,baseline_multimem,17.28,11061.71,2212.34,512000,128000
Qwen2.5-72B-Instruct,4,random,512,128,overlap_fused,18.93,12114.44,2422.89,512000,128000
Mixtral-8x22B-Instruct-v0.1,8,random,512,128,no_ar,26.82,17164.58,3432.92,512000,128000
Mixtral-8x22B-Instruct-v0.1,8,random,512,128,baseline_multimem,41.23,26385.32,5277.06,512000,128000
Mixtral-8x22B-Instruct-v0.1,8,random,512,128,overlap_fused,44.63,28565.83,5713.17,512000,128000
Llama-3.3-70B-Instruct,8,random,1024,128,no_ar,19.99,23028.86,2558.76,1024000,128000
Llama-3.3-70B-Instruct,8,random,1024,128,baseline_multimem,16.42,18919.19,2102.13,1024000,128000
Llama-3.3-70B-Instruct,8,random,1024,128,overlap_fused,19.58,22551.74,2505.75,1024000,128000
Llama-3.3-70B-Instruct,4,random,1024,128,no_ar,12.26,14122.27,1569.14,1024000,128000
Llama-3.3-70B-Instruct,4,random,1024,128,baseline_multimem,10.86,12510.95,1390.11,1024000,128000
Llama-3.3-70B-Instruct,4,random,1024,128,overlap_fused,11.33,13055.53,1450.61,1024000,128000
Qwen2.5-72B-Instruct,8,random,1024,128,no_ar,19.12,22022.41,2446.93,1024000,128000
Qwen2.5-72B-Instruct,8,random,1024,128,baseline_multimem,15.94,18359.02,2039.89,1024000,128000
Qwen2.5-72B-Instruct,8,random,1024,128,overlap_fused,19.19,22107.56,2456.40,1024000,128000
Qwen2.5-72B-Instruct,4,random,1024,128,no_ar,11.77,13555.67,1506.19,1024000,128000
Qwen2.5-72B-Instruct,4,random,1024,128,baseline_multimem,10.46,12055.66,1339.52,1024000,128000
Qwen2.5-72B-Instruct,4,random,1024,128,overlap_fused,11.08,12767.16,1418.57,1024000,128000
Mixtral-8x22B-Instruct-v0.1,8,random,1024,128,no_ar,26.50,30531.27,3392.36,1024000,128000
Mixtral-8x22B-Instruct-v0.1,8,random,1024,128,baseline_multimem,24.39,28094.83,3121.65,1024000,128000
Mixtral-8x22B-Instruct-v0.1,8,random,1024,128,overlap_fused,25.82,29741.10,3304.57,1024000,128000
Llama-3.3-70B-Instruct,8,random,2048,128,no_ar,11.22,24406.86,1435.70,2048000,128000
Llama-3.3-70B-Instruct,8,random,2048,128,baseline_multimem,9.26,20158.51,1185.79,2048000,128000
Llama-3.3-70B-Instruct,8,random,2048,128,overlap_fused,10.82,23533.54,1384.33,2048000,128000
Llama-3.3-70B-Instruct,4,random,2048,128,no_ar,6.49,14131.41,831.26,2048000,128000
Llama-3.3-70B-Instruct,4,random,2048,128,baseline_multimem,5.75,12508.41,735.79,2048000,128000
Llama-3.3-70B-Instruct,4,random,2048,128,overlap_fused,6.20,13491.83,793.64,2048000,128000
Qwen2.5-72B-Instruct,8,random,2048,128,no_ar,10.79,23474.17,1380.83,2048000,128000
Qwen2.5-72B-Instruct,8,random,2048,128,baseline_multimem,8.95,19468.65,1145.21,2048000,128000
Qwen2.5-72B-Instruct,8,random,2048,128,overlap_fused,10.41,22649.83,1332.34,2048000,128000
Qwen2.5-72B-Instruct,4,random,2048,128,no_ar,6.26,13630.64,801.80,2048000,128000
